Date,Click
2019-01-01,36
2019-01-02,45
2019-01-03,41
2019-01-04,40
2019-01-05,40
2019-01-06,43
2019-01-07,48
2019-01-08,47
2019-01-09,49
2019-01-10,46
2019-01-11,41
2019-01-12,35
2019-01-13,41
2019-01-14,49
2019-01-15,47
2019-01-16,50
2019-01-17,47
2019-01-18,45
2019-01-19,42
2019-01-20,49
2019-01-21,58
2019-01-22,61
2019-01-23,60
2019-01-24,55
2019-01-25,51
2019-01-26,49
2019-01-27,53
2019-01-28,67
2019-01-29,61
2019-01-30,52
2019-01-31,45
2019-02-01,40
2019-02-02,34
2019-02-03,35
2019-02-04,30
2019-02-05,35
2019-02-06,45
2019-02-07,54
2019-02-08,49
2019-02-09,44
2019-02-10,51
2019-02-11,55
2019-02-12,56
2019-02-13,51
2019-02-14,46
2019-02-15,43
2019-02-16,42
2019-02-17,45
2019-02-18,51
2019-02-19,54
2019-02-20,51
2019-02-21,45
2019-02-22,42
2019-02-23,41
2019-02-24,47
2019-02-25,54
2019-02-26,50
2019-02-27,48
2019-02-28,44
2019-03-01,44
2019-03-02,46
2019-03-03,47
2019-03-04,54
2019-03-05,53
2019-03-06,53
2019-03-07,50
2019-03-08,47
2019-03-09,45
2019-03-10,49
2019-03-11,52
2019-03-12,52
2019-03-13,49
2019-03-14,47
2019-03-15,45
2019-03-16,42
2019-03-17,48
2019-03-18,54
2019-03-19,55
2019-03-20,56
2019-03-21,51
2019-03-22,47
2019-03-23,44
2019-03-24,44
2019-03-25,55
2019-03-26,55
2019-03-27,55
2019-03-28,51
2019-03-29,45
2019-03-30,45
2019-03-31,48
2019-04-01,56
2019-04-02,51
2019-04-03,48
2019-04-04,46
2019-04-05,40
2019-04-06,37
2019-04-07,40
2019-04-08,48
2019-04-09,47
2019-04-10,48
2019-04-11,50
2019-04-12,43
2019-04-13,41
2019-04-14,50
2019-04-15,53
2019-04-16,52
2019-04-17,54
2019-04-18,54
2019-04-19,49
2019-04-20,45
2019-04-21,52
2019-04-22,58
2019-04-23,57
2019-04-24,56
2019-04-25,54
2019-04-26,54
2019-04-27,48
2019-04-28,53
2019-04-29,63
2019-04-30,57
2019-05-01,59
2019-05-02,60
2019-05-03,52
2019-05-04,47
2019-05-05,47
2019-05-06,59
2019-05-07,59
2019-05-08,62
2019-05-09,58
2019-05-10,53
2019-05-11,50
2019-05-12,52
2019-05-13,61
2019-05-14,62
2019-05-15,58
2019-05-16,56
2019-05-17,52
2019-05-18,44
2019-05-19,48
2019-05-20,53
2019-05-21,54
2019-05-22,55
2019-05-23,53
2019-05-24,48
2019-05-25,43
2019-05-26,46
2019-05-27,57
2019-05-28,55
2019-05-29,55
2019-05-30,54
2019-05-31,50
2019-06-01,46
2019-06-02,49
2019-06-03,58
2019-06-04,64
2019-06-05,53
2019-06-06,48
2019-06-07,50
2019-06-08,46
2019-06-09,51
2019-06-10,63
2019-06-11,62
2019-06-12,60
2019-06-13,58
2019-06-14,52
2019-06-15,46
2019-06-16,50
2019-06-17,60
2019-06-18,61
2019-06-19,59
2019-06-20,59
2019-06-21,51
2019-06-22,45
2019-06-23,46
2019-06-24,59
2019-06-25,60
2019-06-26,56
2019-06-27,51
2019-06-28,46
2019-06-29,44
2019-06-30,51
2019-07-01,62
2019-07-02,60
2019-07-03,61
2019-07-04,56
2019-07-05,50
2019-07-06,44
2019-07-07,48
2019-07-08,58
2019-07-09,63
2019-07-10,61
2019-07-11,63
2019-07-12,56
2019-07-13,49
2019-07-14,53
2019-07-15,66
2019-07-16,62
2019-07-17,61
2019-07-18,60
2019-07-19,52
2019-07-20,51
2019-07-21,56
2019-07-22,62
2019-07-23,61
2019-07-24,60
2019-07-25,57
2019-07-26,52
2019-07-27,51
2019-07-28,53
2019-07-29,59
2019-07-30,60
2019-07-31,63
2019-08-01,63
2019-08-02,57
2019-08-03,54
2019-08-04,56
2019-08-05,61
2019-08-06,66
2019-08-07,66
2019-08-08,63
2019-08-09,56
2019-08-10,55
2019-08-11,58
2019-08-12,70
2019-08-13,69
2019-08-14,63
2019-08-15,58
2019-08-16,60
2019-08-17,58
2019-08-18,60
2019-08-19,75
2019-08-20,76
2019-08-21,76
2019-08-22,72
2019-08-23,68
2019-08-24,60
2019-08-25,64
2019-08-26,84
2019-08-27,84
2019-08-28,83
2019-08-29,79
2019-08-30,73
2019-08-31,68
2019-09-01,79
2019-09-02,94
2019-09-03,95
2019-09-04,96
2019-09-05,93
2019-09-06,81
2019-09-07,75
2019-09-08,75
2019-09-09,83
2019-09-10,73
2019-09-11,68
2019-09-12,57
2019-09-13,56
2019-09-14,69
2019-09-15,74
2019-09-16,94
2019-09-17,87
2019-09-18,82
2019-09-19,78
2019-09-20,71
2019-09-21,65
2019-09-22,72
2019-09-23,80
2019-09-24,79
2019-09-25,80
2019-09-26,76
2019-09-27,70
2019-09-28,66
2019-09-29,68
2019-09-30,78
2019-10-01,79
2019-10-02,76
2019-10-03,68
2019-10-04,70
2019-10-05,65
2019-10-06,72
2019-10-07,83
2019-10-08,72
2019-10-09,73
2019-10-10,72
2019-10-11,70
2019-10-12,66
2019-10-13,76
2019-10-14,85
2019-10-15,76
2019-10-16,80
2019-10-17,76
2019-10-18,70
2019-10-19,62
2019-10-20,64
2019-10-21,78
2019-10-22,76
2019-10-23,71
2019-10-24,70
2019-10-25,65
2019-10-26,62
2019-10-27,67
2019-10-28,78
2019-10-29,77
2019-10-30,73
2019-10-31,72
2019-11-01,74
2019-11-02,66
2019-11-03,74
2019-11-04,84
2019-11-05,91
2019-11-06,92
2019-11-07,88
2019-11-08,81
2019-11-09,79
2019-11-10,89
2019-11-11,96
2019-11-12,94
2019-11-13,97
2019-11-14,92
2019-11-15,85
2019-11-16,82
2019-11-17,88
2019-11-18,88
2019-11-19,85
2019-11-20,81
2019-11-21,81
2019-11-22,80
2019-11-23,78
2019-11-24,83
2019-11-25,93
2019-11-26,94
2019-11-27,87
2019-11-28,82
2019-11-29,77
2019-11-30,74
2019-12-01,81
2019-12-02,88
2019-12-03,90
2019-12-04,90
2019-12-05,91
2019-12-06,79
2019-12-07,80
2019-12-08,88
2019-12-09,92
2019-12-10,92
2019-12-11,94
2019-12-12,88
2019-12-13,84
2019-12-14,83
2019-12-15,87
2019-12-16,94
2019-12-17,100
2019-12-18,92
2019-12-19,86
2019-12-20,79
2019-12-21,77
2019-12-22,81
2019-12-23,91
2019-12-24,78
2019-12-25,81
2019-12-26,90
2019-12-27,86
2019-12-28,80
2019-12-29,87
2019-12-30,88
2019-12-31,75
