Date,LG,Samsung
2019-01-01,23,60
2019-01-02,31,73
2019-01-03,31,70
2019-01-04,23,75
2019-01-05,24,64
2019-01-06,25,58
2019-01-07,38,69
2019-01-08,30,71
2019-01-09,28,77
2019-01-10,29,67
2019-01-11,26,70
2019-01-12,32,66
2019-01-13,27,58
2019-01-14,29,70
2019-01-15,27,73
2019-01-16,28,76
2019-01-17,26,70
2019-01-18,31,76
2019-01-19,27,62
2019-01-20,21,58
2019-01-21,27,69
2019-01-22,26,70
2019-01-23,22,67
2019-01-24,24,70
2019-01-25,23,76
2019-01-26,28,61
2019-01-27,21,69
2019-01-28,37,18
2019-01-29,44,17
2019-01-30,36,17
2019-01-31,39,20
2019-02-01,38,19
2019-02-02,42,17
2019-02-03,39,17
2019-02-04,40,14
2019-02-05,42,19
2019-02-06,36,14
2019-02-07,42,15
2019-02-08,44,22
2019-02-09,40,19
2019-02-10,30,17
2019-02-11,43,19
2019-02-12,48,16
2019-02-13,36,21
2019-02-14,46,18
2019-02-15,36,18
2019-02-16,31,20
2019-02-17,34,20
2019-02-18,39,24
2019-02-19,39,23
2019-02-20,45,28
2019-02-21,40,34
2019-02-22,38,29
2019-02-23,42,22
2019-02-24,52,24
2019-02-25,57,19
2019-02-26,37,20
2019-02-27,42,21
2019-02-28,40,21
2019-03-01,35,17
2019-03-02,38,19
2019-03-03,38,15
2019-03-04,58,23
2019-03-05,51,26
2019-03-06,47,17
2019-03-07,49,23
2019-03-08,49,24
2019-03-09,42,14
2019-03-10,42,21
2019-03-11,41,21
2019-03-12,34,23
2019-03-13,43,23
2019-03-14,46,23
2019-03-15,40,22
2019-03-16,32,23
2019-03-17,41,22
2019-03-18,42,26
2019-03-19,43,25
2019-03-20,40,24
2019-03-21,51,24
2019-03-22,40,27
2019-03-23,33,20
2019-03-24,42,24
2019-03-25,38,20
2019-03-26,50,22
2019-03-27,42,22
2019-03-28,45,24
2019-03-29,36,22
2019-03-30,33,20
2019-03-31,36,16
2019-04-01,25,82
2019-04-02,25,81
2019-04-03,32,100
2019-04-04,24,83
2019-04-05,25,79
2019-04-06,24,68
2019-04-07,26,65
2019-04-08,36,74
2019-04-09,24,84
2019-04-10,25,83
2019-04-11,26,74
2019-04-12,29,82
2019-04-13,23,74
2019-04-14,23,67
2019-04-15,24,76
2019-04-16,24,74
2019-04-17,27,80
2019-04-18,27,75
2019-04-19,25,74
2019-04-20,26,63
2019-04-21,26,76
2019-04-22,33,75
2019-04-23,24,77
2019-04-24,34,97
2019-04-25,28,81
2019-04-26,23,75
2019-04-27,19,63
2019-04-28,22,67
2019-04-29,26,77
2019-04-30,29,78
2019-05-01,26,75
2019-05-02,22,67
2019-05-03,29,69
2019-05-04,25,71
2019-05-05,22,60
2019-05-06,24,61
2019-05-07,26,79
2019-05-08,24,77
2019-05-09,22,80
2019-05-10,24,70
2019-05-11,26,72
2019-05-12,31,64
2019-05-13,28,70
2019-05-14,31,85
2019-05-15,35,72
2019-05-16,31,74
2019-05-17,31,73
2019-05-18,30,62
2019-05-19,22,52
2019-05-20,31,73
2019-05-21,29,83
2019-05-22,26,82
2019-05-23,26,75
2019-05-24,27,81
2019-05-25,28,76
2019-05-26,25,63
2019-05-27,26,90
2019-05-28,31,86
2019-05-29,28,83
2019-05-30,24,72
2019-05-31,28,80
